FirstName,LastName,EstimatedEthnicity,EstimatedGender,JobTitle,JobArea,Bachelors,Masters,Location,ZipCode,Bilingual,
Colleen,Klein,White,Female,Marketing Coordinator,marketing,University of Illinois at Chicago,,"Chicago, IL",60614,,
Colleen,Klein,White,Female,Marketing Coordinator,marketing,University of Wisconsin-Madison,,"Chicago, IL",60618,,
Krista,O'Donnell,White,Female,Nurse,healthcare,University of Michigan,,"Ann Arbor, MI",48104,,
Krista,O'Donnell,White,Female,Senior Graphic Designer,graphics designing,Minneapolis College of Art and Design,,"Minneapolis, MN",55410,,
Krista,O'Donnell,White,Female,Human Resources Manager,management,Emory University,Georgia State University,"Atlanta, GA",30305,,
Krista,O'Donnell,White,Female,Project Manager,management,Colorado State University,University of Colorado Boulder,"Denver, CO",80209,,
Krista,O'Donnell,White,Female,High School English Teacher,education,San Francisco State University,University of California,"San Francisco, CA",94117,,
Megan,Olson,White,Female,Marketing Manager,marketing,University of Michigan,,"Chicago, IL",60657,,
Megan,Olson,White,Female,Marketing Manager,marketing,University of Minnesota,,"Woodbury, MN",55125,,
Megan,Olson,White,Female,Senior Marketing Manager,marketing,Northwestern University,,"Evanston, IL",60201,,
Megan,Olson,White,Female,Marketing Manager,marketing,University of Michigan,,"Ann Arbor, MI",48108,,
Megan,Olson,White,Female,Senior Marketing Manager,marketing,University of Colorado Boulder,,"Denver, CO",80202,,
Roosevelt,Drayton,Black,Male,Lead Mechanical Engineer,engineering,University of Memphis,University of Tennessee,"Memphis, TN",38109,,
Roosevelt,Drayton,Black,Male,Director of Marketing,marketing,DePaul University,University of Chicago Booth School of Business,"Chicago, IL",60612,,
Roosevelt,Drayton,Black,Male,Partner,management,Morehouse College,Emory University School of Law,"Atlanta, GA",30339,,
Roosevelt,Drayton,Black,Male,IT Manager,IT,University of Southern California,,"Los Angeles, CA",90049,,
Roosevelt,Drayton,Black,Male,Operations Manager,management,Drexel University,Pennsylvania State University,"Philadelphia, PA",19103,,
Tyrone,Ivory,Black,Male,Network Administrator,IT,University of Washington,,"Seattle, WA",98122,,
Tyrone,Ivory,Black,Male,Senior Network Administrator,IT,Tulane University,,"New Orleans, LA",70130,,
Tyrone,Ivory,Black,Male,Network Security Architect,IT,Georgia Institute of Technology,,"Atlanta, GA",30305,,
Tyrone,Ivory,Black,Male,Senior Network Engineer,engineering,University of Illinois at Chicago,,"Chicago, IL",60615,,
Tyrone,Ivory,Black,Male,Cybersecurity Architect,IT,University of California,,"Oakland, CA",94607,,
Jermaine,Smalls,Black,Male,Pharmaceutical Sales Representative,sales,Morgan State University,,"Baltimore, MD",21218,,
Jermaine,Smalls,Black,Male,Lead Electrical Engineer,engineering,Texas A&M University,Rice University,"Houston, TX",77084,,
Jermaine,Smalls,Black,Male,"Vice President, Investment Banking",finance,University of Pennsylvania,Columbia University,"New York, NY",10037,,
Jermaine,Smalls,Black,Male,Senior Financial Analyst,finance,Rutgers University,,"Newark, NJ",7102,,
Jermaine,Smalls,Black,Male,Information Security Analyst,IT,San Diego State University,,"San Diego, CA",92103,,
Latonya,Artis,Black,Female,Senior Marketing Manager,marketing,Georgia State University,,"Atlanta, GA",30309,,
Latonya,Artis,Black,Female,Marketing Manager,marketing,Morgan State University,,"Baltimore, MD",21218,,
Latonya,Artis,Black,Female,Senior Marketing Manager,marketing,University of Illinois at Chicago,,"Chicago, IL",60605,,
Latonya,Artis,Black,Female,Marketing Manager,marketing,University of California,,"Oakland, CA",94607,,
Latonya,Artis,Black,Female,Senior Marketing Manager,marketing,New York University,,"New York, NY",10037,,
Keisha,Lockett,Black,Female,High School English Teacher,education,University of Michigan,Wayne State University,"Detroit, MI",48208,,
Keisha,Lockett,Black,Female,High School English Teacher,education,Spelman College,Emory University,"Atlanta, GA",30314,,
Keisha,Lockett,Black,Female,High School English Teacher,education,Temple University,University of Pennsylvania,"Philadelphia, PA",19147,,
Keisha,Lockett,Black,Female,High School English Teacher,education,Colorado State University,University of Denver,"Denver, CO",80203,,
Keisha,Lockett,Black,Female,High School English Teacher,education,Hunter College,Columbia University,"New York, NY",10027,,
Ebony,Washington,Black,Female,Senior Marketing Manager,marketing,University of Georgia,Emory University,"Atlanta, GA",30305,,
Ebony,Washington,Black,Female,Human Resources Manager,management,University of Illinois at Chicago,DePaul University,"Chicago, IL",60647,,
Ebony,Washington,Black,Female,Clinical Social Worker,healthcare,Michigan State University,Wayne State University,"Detroit, MI",48207,,
Ebony,Washington,Black,Female,Senior Software Engineer,software engineering,University of Colorado Boulder,,"Denver, CO",80209,,
Ebony,Washington,Black,Female,Director of Public Relations,Public Relations,The University of Texas at Austin,,"Austin, TX",78759,,
Wei,Liu,API,Male,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Wei,Liu,API,Male,Senior Software Engineer,software engineering,Fudan University,,Shanghai,200040,,
Wei,Liu,API,Male,Lead Software Engineer,software engineering,Shanghai Jiao Tong University,,Shanghai,200092,,
Wei,Liu,API,Male,Lead Software Engineer,software engineering,National University of Singapore,,Singapore,639798,,
Wei,Liu,API,Male,Senior Software Engineer,software engineering,Shanghai Jiao Tong University,,Shanghai,200031,,
Wang,Tao,API,Male,Investment Banking,finance,Fudan University,Tsinghua University,Jiangsu,210008,,
Wang,Tao,API,Male,Project Director,management,Shandong University,Tongji University,Shandong,266071,,
Wang,Tao,API,Male,Head of Marketing,marketing,Shanghai International Studies University,Fudan University,Shanghai,200080,,
Wang,Tao,API,Male,Senior Software Architect,software engineering,Zhejiang University,Tsinghua University,Beijing,100080,,
Wang,Tao,API,Male,Investment Banking,finance,Renmin University of China,Peking University,Beijing,100080,,
Rajesh,Patel,API,Male,Project Manager,management,Indian Institute of Technology Bombay,,Mumbai,400051,,
Rajesh,Patel,API,Male,Project Manager,management,Birla Vishvakarma Mahavidyalaya,,Ahmedabad,380054,,Petroleum Engineer
Rajesh,Patel,API,Male,Project Manager,management,Indian Institute of Technology Delhi,,New Delhi,110070,,Systems Analyst
Rajesh,Patel,API,Male,Project Manager,management,Anna University,,Chennai,600002,,Software Engineer
Rajesh,Patel,API,Male,Project Manager,management,Veermata Jijabai Technological Institute (VJTI),,Mumbai,400052,,Software Engineer
Mei,Takahashi,API,Female,Senior Product Manager,management,The University of Tokyo,,Tokyo,106-0031,,Data Scientist
Mei,Takahashi,API,Female,Nurse,healthcare,Keio University,,Tokyo,140-0002,,
Mei,Takahashi,API,Female,Marketing Manager,marketing,Waseda University,,Tokyo,171-0032,,
Mei,Takahashi,API,Female,Marketing Manager,marketing,Waseda University,,Tokyo,171-0032,,
Mei,Takahashi,API,Female,Marketing Manager,marketing,Waseda University,,Tokyo,154-0012,,
Wang,Jing,API,Female,Senior Software Engineer,software engineering,Tsinghua University,,Beijing,100088,,
Wang,Jing,API,Female,Senior Software Engineer,software engineering,Tsinghua University,,Beijing,100088,,
Wang,Jing,API,Female,Senior Software Engineer,software engineering,Tsinghua University,,Beijing,100088,,
Wang,Jing,API,Female,Senior Marketing Manager,marketing,Fudan University,,Shanghai,200092,,
Wang,Jing,API,Female,Senior Marketing Manager,marketing,Shanghai Jiao Tong University,Tsinghua University,Shanghai,200336,,
Priya,Gupta,API,Female,Software Engineer,software engineering,Indian Institute of Technology (IIT) Kanpur,,"Uttar Pradesh, India",,,
Priya,Gupta,API,Female,Software Engineer,software engineering,Indian Institute of Technology (IIT) Kanpur,,"Uttar Pradesh, India",,,
Priya,Gupta,API,Female,Marketing Coordinator,marketing,York University,,Ontario,L4C 9X5,,
Priya,Gupta,API,Female,Marketing Manager,marketing,University of Delhi,,New Delhi,110070,,
Priya,Gupta,API,Female,Software Development Manager,software engineering,Birla Institute of Technology and Science (BITS) Pilani,,Mumbai,400050,,
Ignacio,Maldonado,Hispanic,Male,"Jefe de Recursos Humanos,",management,Universidad Complutense de Madrid,,España,28001,,
Ignacio,Maldonado,Hispanic,Male,Jefe de Proyectos,management,Universidad de Zaragoza,,Zaragoza,50003,,
Ignacio,Maldonado,Hispanic,Male,Auditor Senior,auditing,Universidad Autónoma de Baja California,,Tijuana,22320,,
Ignacio,Maldonado,Hispanic,Male,Socio,judiciary,Universidad de Chile,,Chile,,,
Ignacio,Maldonado,Hispanic,Male,Arquitecto Senior,architecture,Universidad Nacional Autónoma de México (UNAM),,Ciudad de México,,,
Humberto,Mejia,Hispanic,Male,Regional Sales Manager,sales,Universidad de los Andes,,"Bogotá, Colombia",,,
Humberto,Mejia,Hispanic,Male,Project Engineer,engineering,Universidad Autónoma de Baja California (UABC),,Baja California,22020,,
Humberto,Mejia,Hispanic,Male,Production Assistant,admin,Columbia University,University of California,"New York, NY",10009,,
Humberto,Mejia,Hispanic,Male,Audit Associate,auditing,San Diego State University,,"San Diego, CA",92115,,
Humberto,Mejia,Hispanic,Male,Software Engineer,software engineering,Universidad Iberoamericana,,Baja California,22000,,
Jose,Rodriguez,Hispanic,Male,Ingeniero de Software Senior,software engineering,Universidad Politécnica de Madrid,,Madrid,28028,,
Jose,Rodriguez,Hispanic,Male,Profesor de Educación Básica,education,Universidad de Santiago de Chile,,Chile,,,
Jose,Rodriguez,Hispanic,Male,Gerente de Operaciones y Logística,logistics,Universidad Nacional Autónoma de México (UNAM),,Ciudad de México,3810,,
Jose,Rodriguez,Hispanic,Male,Productor de Contenidos,entertainment,Universidad de Buenos Aires,,Buenos Aires,C1042AAB,,
Jose,Rodriguez,Hispanic,Male,Gerente de Mejora Continua,engineering,Universidad de la República,,Montevideo,,,
Blanca,Jimenez,Hispanic,Female,Production Engineer,engineering,Universidad de Monterrey (UDEM),,Nuevo León,64000,,
Blanca,Jimenez,Hispanic,Female,High School English Teacher,education,Boston College,Harvard University,"Cambridge, MA",2139,,
Blanca,Jimenez,Hispanic,Female,Nurse,healthcare,University of Puerto Rico,,"San Juan, Puerto Rico",907,,
Blanca,Jimenez,Hispanic,Female,Research Assistant,research,Universidad Autónoma de Baja California (UABC),,Baja California,22000,,
Blanca,Jimenez,Hispanic,Female,Reporter,entertainment,University of Illinois at Chicago,Northwestern University,"Chicago, IL",60610,,
Guadalupe,Espinoza,Hispanic,Female,Directora de Arte,graphics designing,Universidad Iberoamericana,,Ciudad de México,11590,,
Guadalupe,Espinoza,Hispanic,Female,Cirujana General,healthcare,Universidad de Chile,,Chile,,,
Guadalupe,Espinoza,Hispanic,Female,Production Engineer,engineering,Universidad Autónoma de Tamaulipa,,Tamaulipas,87010,,
Guadalupe,Espinoza,Hispanic,Female,Community Outreach Coordinator,community service,University of California,,"Los Angeles, CA",90019,,
Guadalupe,Espinoza,Hispanic,Female,Psicóloga Clínica,healthcare,Universidad Nacional Mayor de San Marcos,,Perú,15037,,
Graciela,Gonzalez,Hispanic,Female,Behavior Therapist,healthcare,Florida International University,,"Miami, FL",33174,,
Graciela,Gonzalez,Hispanic,Female,Structural Engineer,engineering,Universidad Autónoma de Querétaro,,Querétaro,76000,,
Graciela,Gonzalez,Hispanic,Female,Ingeniera de Procesos Senior,engineering,Universidad de la República,,Montevideo,11300,,
Graciela,Gonzalez,Hispanic,Female,Gerente de Auditoría,auditing,Universidad de Buenos Aires,,Buenos Aires,C1425ABG,,
Graciela,Gonzalez,Hispanic,Female,Museum Educator,education,Universidad de Buenos Aires,Columbia University,"New York, NY",10128,,
Brett,Snyder,White,Male,Senior Marketing Manager,marketing,DePaul University,,"Arlington Heights, IL",60004,,
Brett,Snyder,White,Male,Marketing Manager,marketing,The Ohio State University,,"Columbus, OH",43201,,
Brett,Snyder,White,Male,Senior Marketing Manager,marketing,University of Minnesota,,"Minneapolis, MN",55407,,
Brett,Snyder,White,Male,Sales Manager,sales,University of North Carolina at Chapel Hill,,"Asheville, NC",28801,,
Scott,Wagner,White,Male,Marketing Manager,marketing,Texas Christian University,,"Fort Worth, TX",76109,,
Scott,Wagner,White,Male,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Scott,Wagner,White,Male,Senior Software Engineer,software engineering,Stanford University,,"San Francisco, CA",94115,,
Scott,Wagner,White,Male,Project Manager,management,Indiana University,,"Chicago, IL",60622,,
Scott,Wagner,White,Male,Project Manager,management,DePaul University,,"Chicago, IL",60657,,
Matthew,Hoffman,White,Male,Project Manager,management,Loyola University Chicago,,"Chicago, IL",60614,,
Matthew,Hoffman,White,Male,Logistics Coordinator,logistics,Pennsylvania State University,,"Naperville, IL",60540,,
Matthew,Hoffman,White,Male,Marketing Manager,marketing,University of Illinois at Urbana-Champaign,,"Springfield, IL",62701,,
Matthew,Hoffman,White,Male,Senior Marketing Manager,marketing,DePaul University,,"Arlington Heights, IL",60004,,
Matthew,Hoffman,White,Male,Mechanical Engineer,engineering,Clemson University,,"Charleston, SC",29401,,
Beth,Schmidt,White,Female,Marketing Coordinator,marketing,University of Illinois at Chicago,,"Chicago, IL",60614,,
Beth,Schmidt,White,Female,Marketing Coordinator,marketing,University of Wisconsin-Madison,,"Chicago, IL",60618,,
Beth,Schmidt,White,Female,Nurse,healthcare,University of Michigan,,"Ann Arbor, MI",48104,,
Beth,Schmidt,White,Female,Senior Graphic Designer,graphics designing,Minneapolis College of Art and Design,,"Minneapolis, MN",55410,,
Beth,Schmidt,White,Female,Human Resources Manager,management,Emory University,Georgia State University,"Atlanta, GA",30305,,
Jill,Carlson,White,Female,Project Manager,management,Colorado State University,University of Colorado Boulder,"Denver, CO",80209,,
Jill,Carlson,White,Female,High School English Teacher,education,San Francisco State University,University of California,"San Francisco, CA",94117,,
Jill,Carlson,White,Female,High School English Teacher,education,San Francisco State University,University of California,"San Francisco, CA",94117,,
Jill,Carlson,White,Female,Marketing Manager,marketing,University of Michigan,,"Chicago, IL",60657,,
Jill,Carlson,White,Female,Marketing Manager,marketing,University of Minnesota,,"Woodbury, MN",55125,,
Kathleen,Schneider,White,Female,Senior Marketing Manager,marketing,Northwestern University,,"Evanston, IL",60201,,
Kathleen,Schneider,White,Female,Marketing Manager,marketing,University of Michigan,,"Ann Arbor, MI",48108,,
Kathleen,Schneider,White,Female,Senior Marketing Manager,marketing,University of Colorado Boulder,,"Denver, CO",80202,,
Kathleen,Schneider,White,Female,English Teacher,Education,University of Texas at Austin,,"Austin, TX",78704,,
Kathleen,Schneider,White,Female,Office Manager,Administrative,University of Texas at Austin,,"Austin, TX",78704,,
Darnell,Okafor,Black,Male,Marketing Intern,Marketing,University of Pittsburgh,,"Pittsburgh, PA",15213,,
Darnell,Okafor,Black,Male,"Project Manager
",Project Management,Morehouse College,,"Atlanta, GA",30318,,
Darnell,Okafor,Black,Male,Project Manager,Project Management,Georgia Institute of Technology,,"Atlanta, GA",30318,,
Darnell,Okafor,Black,Male,Marketing Intern,Marketing,Morehouse College,,"Atlanta, GA",30318,,
Darnell,Okafor,Black,Male,Financial Intern,Finance,Morehouse College,,"Atlanta, GA",30318,,
Willie,Baptiste,Black,Male,Account Manager,Accounting,Wayne State University,,"Detroit, MI",48226,,
Willie,Baptiste,Black,Male,Sales Associate,Sales,Augusta University,,"Augusta, GA",30901,,
Willie,Baptiste,Black,Male,Warehouse Associate,Warehouse,,,"Atlanta, GA",30318,,
Willie,Baptiste,Black,Male,Sales Associate,Sales,Augusta Technical College,,"Augusta, GA",30901,,
Willie,Baptiste,Black,Male,Retail Sales Associate,Sales,Augusta University,,"Augusta, GA",30901,,
Alphonso,Boykins,Black,Male,Warehouse Associate,Warehouse,,,"Atlanta, GA",30318,,
Alphonso,Boykins,Black,Male,Warehouse Supervisor,Warehouse,,,"Decatur, GA",30030,,
Alphonso,Boykins,Black,Male,Financial Analyst Intern,Finance,Georgia State University,,"Atlanta, GA",30318,,
Alphonso,Boykins,Black,Male,Project Manager,Project Management,Georgia State University,,"Atlanta, GA",30318,,
Alphonso,Boykins,Black,Male,Administrative Assistant,Administrative,Howard University,,"Atlanta, GA",30318,,
Tamika,Gadson,Black,Female,Account Manager,Accounting,Georgia State University,,"Atlanta, GA",30318,,
Tamika,Gadson,Black,Female,Marketing Manager,marketing,University of California,,"Oakland, CA",94607,,
Tamika,Gadson,Black,Female,Senior Marketing Manager,marketing,New York University,,"New York, NY",10037,,
Tamika,Gadson,Black,Female,High School English Teacher,education,University of Michigan,Wayne State University,"Detroit, MI",48208,,
Tamika,Gadson,Black,Female,High School English Teacher,education,Spelman College,Emory University,"Atlanta, GA",30314,,
Latasha,Boateng,Black,Female,Nurse,healthcare,University of Michigan,,"Ann Arbor, MI",48104,,
Latasha,Boateng,Black,Female,Senior Graphic Designer,graphics designing,Minneapolis College of Art and Design,,"Minneapolis, MN",55410,,
Latasha,Boateng,Black,Female,Human Resources Manager,management,Emory University,Georgia State University,"Atlanta, GA",30305,,
Latasha,Boateng,Black,Female,Project Manager,management,Colorado State University,University of Colorado Boulder,"Denver, CO",80209,,
Brett,Snyder,White,Male,High School English Teacher,education,San Francisco State University,University of California,"San Francisco, CA",94117,,
Latasha,Boateng,Black,Female,Marketing Manager,marketing,University of Michigan,,"Chicago, IL",60657,,
Kenya,Ajayi,Black,Female,High School English Teacher,education,Colorado State University,University of Denver,"Denver, CO",80203,,
Kenya,Ajayi,Black,Female,High School English Teacher,education,Hunter College,Columbia University,"New York, NY",10027,,
Kenya,Ajayi,Black,Female,Senior Marketing Manager,marketing,University of Georgia,Emory University,"Atlanta, GA",30305,,
Kenya,Ajayi,Black,Female,Human Resources Manager,management,University of Illinois at Chicago,DePaul University,"Chicago, IL",60647,,
Kenya,Ajayi,Black,Female,Clinical Social Worker,healthcare,Michigan State University,Wayne State University,"Detroit, MI",48207,,
Son,Ho-jun,API,Male,Senior Software Engineer,software engineering,University of Colorado Boulder,,"Denver, CO",80209,,
Son,Ho-jun,API,Male,Director of Public Relations,Public Relations,The University of Texas at Austin,,"Austin, TX",78759,,
Son,Ho-jun,API,Male,Senior Software Engineer,software engineering,Tsinghua University,,Beijing,100088,,
Son,Ho-jun,API,Male,Senior Marketing Manager,marketing,Fudan University,,Shanghai,200092,,
Son,Ho-jun,API,Male,Senior Marketing Manager,marketing,Shanghai Jiao Tong University,Tsinghua University,Shanghai,200336,,
Hong,Leong,API,Male,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Hong,Leong,API,Male,Senior Software Engineer,software engineering,Fudan University,,Shanghai,200040,,
Hong,Leong,API,Male,Lead Software Engineer,software engineering,Shanghai Jiao Tong University,,Shanghai,200092,,
Hong,Leong,API,Male,Lead Software Engineer,software engineering,National University of Singapore,,Singapore,639798,,
Hong,Leong,API,Male,Senior Software Engineer,software engineering,Shanghai Jiao Tong University,,Shanghai,200031,,
Jian,Huang,API,Male,Investment Banking,finance,Fudan University,Tsinghua University,Jiangsu,210008,,
Jian,Huang,API,Male,Project Director,management,Shandong University,Tongji University,Shandong,266071,,
Jian,Huang,API,Male,Head of Marketing,marketing,Shanghai International Studies University,Fudan University,Shanghai,200080,,
Jian,Huang,API,Male,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Jian,Huang,API,Male,Senior Software Engineer,software engineering,Fudan University,,Shanghai,200040,,
Chun,Hua,API,Female,Lead Software Engineer,software engineering,Shanghai Jiao Tong University,,Shanghai,200092,,
Chun,Hua,API,Female,Lead Software Engineer,software engineering,National University of Singapore,,Singapore,639798,,
Chun,Hua,API,Female,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Chun,Hua,API,Female,Senior Software Engineer,software engineering,Fudan University,,Shanghai,200040,,
Chun,Hua,API,Female,Lead Software Engineer,software engineering,Shanghai Jiao Tong University,,Shanghai,200092,,
Li,Na,API,Female,Lead Software Engineer,software engineering,National University of Singapore,,Singapore,639798,,
Li,Na,API,Female,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Li,Na,API,Female,Senior Software Engineer,software engineering,Fudan University,,Shanghai,200040,,
Li,Na,API,Female,Lead Software Engineer,software engineering,Shanghai Jiao Tong University,,Shanghai,200092,,
Li,Na,API,Female,Lead Software Engineer,software engineering,National University of Singapore,,Singapore,639798,,
Yi,Mei-Ling,API,Female,Investment Banking,finance,Fudan University,Tsinghua University,Jiangsu,210008,,
Yi,Mei-Ling,API,Female,Project Director,management,Shandong University,Tongji University,Shandong,266071,,
Yi,Mei-Ling,API,Female,Head of Marketing,marketing,Shanghai International Studies University,Fudan University,Shanghai,200080,,
Yi,Mei-Ling,API,Female,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Yi,Mei-Ling,API,Female,Investment Banking,finance,Fudan University,Tsinghua University,Jiangsu,210008,,
Juan,Gomez,Hispanic,Male,Regional Sales Manager,sales,Universidad de los Andes,,"Bogotá, Colombia",,,
Juan,Gomez,Hispanic,Male,Project Engineer,engineering,Universidad Autónoma de Baja California (UABC),,Baja California,22020,,
Juan,Gomez,Hispanic,Male,Production Assistant,admin,Columbia University,University of California,"New York, NY",10009,,
Juan,Gomez,Hispanic,Male,Audit Associate,auditing,San Diego State University,,"San Diego, CA",92115,,
Juan,Gomez,Hispanic,Male,Software Engineer,software engineering,Universidad Iberoamericana,,Baja California,22000,,
Javier,Vasquez,Hispanic,Male,Ingeniero de Software Senior,software engineering,Universidad Politécnica de Madrid,,Madrid,28028,,
Javier,Vasquez,Hispanic,Male,Profesor de Educación Básica,education,Universidad de Santiago de Chile,,Chile,,,
Javier,Vasquez,Hispanic,Male,Gerente de Operaciones y Logística,logistics,Universidad Nacional Autónoma de México (UNAM),,Ciudad de México,3810,,
Javier,Vasquez,Hispanic,Male,Productor de Contenidos,entertainment,Universidad de Buenos Aires,,Buenos Aires,C1042AAB,,
Javier,Vasquez,Hispanic,Male,Gerente de Mejora Continua,engineering,Universidad de la República,,Montevideo,,,
Miguel,Delgado,Hispanic,Male,Production Engineer,engineering,Universidad de Monterrey (UDEM),,Nuevo León,64000,,
Miguel,Delgado,Hispanic,Male,High School English Teacher,education,Boston College,Harvard University,"Cambridge, MA",2139,,
Miguel,Delgado,Hispanic,Male,Production Assistant,admin,Columbia University,University of California,"New York, NY",10009,,
Miguel,Delgado,Hispanic,Male,Audit Associate,auditing,San Diego State University,,"San Diego, CA",92115,,
Miguel,Delgado,Hispanic,Male,Software Engineer,software engineering,Universidad Iberoamericana,,Baja California,22000,,
Rocio,Alvarado,Hispanic,Female,Ingeniero de Software Senior,software engineering,Universidad Politécnica de Madrid,,Madrid,28028,,
Rocio,Alvarado,Hispanic,Female,Production Assistant,admin,Columbia University,University of California,"New York, NY",10009,,
Rocio,Alvarado,Hispanic,Female,Audit Associate,auditing,San Diego State University,,"San Diego, CA",92115,,
Rocio,Alvarado,Hispanic,Female,Software Engineer,software engineering,Universidad Iberoamericana,,Baja California,22000,,
Rocio,Alvarado,Hispanic,Female,Ingeniero de Software Senior,software engineering,Universidad Politécnica de Madrid,,Madrid,28028,,
Juana,Morales,Hispanic,Female,Production Assistant,admin,Columbia University,University of California,"New York, NY",10009,,
Juana,Morales,Hispanic,Female,Audit Associate,auditing,San Diego State University,,"San Diego, CA",92115,,
Juana,Morales,Hispanic,Female,Software Engineer,software engineering,Universidad Iberoamericana,,Baja California,22000,,
Juana,Morales,Hispanic,Female,Ingeniero de Software Senior,software engineering,Universidad Politécnica de Madrid,,Madrid,28028,,
Juana,Morales,Hispanic,Female,Psicóloga Clínica,healthcare,Universidad Nacional Mayor de San Marcos,,Perú,15037,,
Alejandra,Ramirez,Hispanic,Female,Behavior Therapist,healthcare,Florida International University,,"Miami, FL",33174,,
Alejandra,Ramirez,Hispanic,Female,Structural Engineer,engineering,Universidad Autónoma de Querétaro,,Querétaro,76000,,
Alejandra,Ramirez,Hispanic,Female,Ingeniera de Procesos Senior,engineering,Universidad de la República,,Montevideo,11300,,
Alejandra,Ramirez,Hispanic,Female,Gerente de Auditoría,auditing,Universidad de Buenos Aires,,Buenos Aires,C1425ABG,,
Alejandra,Ramirez,Hispanic,Female,Audit Associate,auditing,San Diego State University,,"San Diego, CA",92115,,
